[1] "out_8a_50b_20d_200t_PPC_diag"
[1] "Total iterations: 10000"
[1] "Total minutes: 311.66"
           param   rhat
392 eps_phi[150] 1.0020
393 eps_phi[151] 1.0012
394 eps_phi[152] 1.0009
395 eps_phi[153] 1.0015
396 eps_phi[154] 1.0010
397 eps_phi[155] 1.0019
398 eps_phi[156] 1.0010
399 eps_phi[157] 1.0009
400 eps_phi[158] 1.0011
401 eps_phi[159] 1.0009
402 eps_phi[160] 1.0021
403 eps_phi[161] 1.0015
404 eps_phi[162] 1.0013
405 eps_phi[163] 1.0021
406 eps_phi[164] 1.0011
407 eps_phi[165] 1.0012
408 eps_phi[166] 1.0013
409 eps_phi[167] 1.0010
410 eps_phi[168] 1.0024
411 eps_phi[169] 1.0023
412 eps_phi[170] 1.0012
413 eps_phi[171] 1.0009
414 eps_phi[172] 1.0015
415 eps_phi[173] 1.0024
416 eps_phi[174] 1.0007
417 eps_phi[175] 1.0030
418 eps_phi[176] 1.0011
419 eps_phi[177] 1.0042
420 eps_phi[178] 1.0009
421 eps_phi[179] 1.0020
422 eps_phi[180] 1.0015
423 eps_phi[181] 1.0010
424 eps_phi[182] 1.0009
425 eps_phi[183] 1.0014
426 eps_phi[184] 1.0016
427 eps_phi[185] 1.0010
428 eps_phi[186] 1.0007
429 eps_phi[187] 1.0026
430 eps_phi[188] 1.0005
431 eps_phi[189] 1.0013
432 eps_phi[190] 1.0021
433 eps_phi[191] 1.0011
434 eps_phi[192] 1.0033
435 eps_phi[193] 1.0006
436 eps_phi[194] 1.0009
437 eps_phi[195] 1.0019
438 eps_phi[196] 1.0011
439 eps_phi[197] 1.0005
440 eps_phi[198] 1.0008
441 eps_phi[199] 1.0017
442 eps_phi[200] 1.0009
443        pv.mn 1.0001
444        pv.sd 1.0003
[1] "Posterior Predictive Check:"
 pv.mn  pv.sd 
0.3190 0.2476 
